,row_name,star_name,distance,mass,radius
0,0.0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,1.0,2MASS J00040288-6410358,192,19,1.63
2,2.0,LHS 102BC,,,
3,3.0,2MASS J00242463-0158201,37.7,79,1.09
4,4.0,2MASS J00250365+4759191AB,143,,
5,5.0,2MASS J00274197+0503417,236,31,1.44
6,6.0,2MASS J00275592+2219328,46.9,,
7,7.0,2MASSW J0030300-145033,87.2,54,0.98
8,8.0,2MASS J00332386-1521309 [de],131,29,1.43
9,9.0,2MASS J00345157+0523050,31,42,0.94
10,10.0,2MASS 0036+1821,28.6,42,0.94
11,11.0,2MASSW J0045214+163445,57,23,1.62
12,12.0,WISEP J004701.06+680352.1 [fr],40,12,1.3
13,13.0,2MASS J00501994-3322402 [de],34,40,0.94
14,14.0,2MASS J00034227-2822410,,,
15,15.0,2MASS J00584253-0651239 [de],96,29,1.43
16,16.0,CFBDS J005910.90–011401.3,30,23,
17,17.0,2MASSI J0103320+193536,70,52,0.98
18,18.0,SDSSp J010752.33+004156.1 [de],51,52,0.98
19,19.0,2MASSI J0117474-340325 [de],163,20,1.62
20,20.0,2MASS J01415823-4633574 [de],130,20,1.61
21,21.0,SDSS J015141.69+124429.6,70,47,0.97
22,22.0,DENIS-P J020529.0−115925A,65,,
23,23.0,DENIS-P J020529.0−115925B,65,,
24,24.0,DENIS-P J020529.0−115925C,65,,
25,25.0,SDSS J020742.48+000056.2 [de],111,47,0.97
26,26.0,2MASS J02103857-3015313,101,15,1.53
27,27.0,2MASS J02340093-6442068,155,20,1.62
28,28.0,2MASS J02411151-0326587 [de],152,27,1.41
29,29.0,2MASS J02431371−2453298,35,33,0.99
30,30.0,LP 771-21,53,78,1.08
31,31.0,2MASS J02511327+0047364,,,
32,32.0,Teegarden's star,12.578,80,1.27
33,33.0,2MASS J02535980+3206373,184,65,1.9
34,34.0,WISE J0254+0223,24,65,1.9
35,35.0,DEN 0255-4700,16.2,80,0.97
36,36.0,2MASS J03185403-3421292 [de],45,49,0.97
37,37.0,2MASS J03205965+1854233,47,88,1.15
38,38.0,2MASS J03231002-4631237,192,23,1.66
39,39.0,SDSS J032553.17+042540.1,59,45,0.95
40,40.0,2MASS J03264225-2102057 [de],80,18,1.3
41,41.0,2MASS J03284265+2302051 [de],98,54,0.98
42,42.0,2MASS J03341218-4953322,27.0,73,1.04
43,43.0,LP 944-20,20.9,73,1.43
44,44.0,2MASP J0345432+254023,88,74,1.05
45,45.0,Teide 1,380,55,3.78
46,46.0,2MASS J03510004-0052452,48,102,1.27
47,47.0,2MASS J03552337+1133437,29.8,20,1.32
48,48.0,DENIS-P J035726.9-441730 [de],130,,
49,49.0,2MASS J04151954−0935066,18.6,30,0.95
50,50.0,SDSSp J042348.57-041403.5 [de],50,,
51,51.0,2MASS J04285096-2253227 [de],85,80,1.09
52,52.0,2MASS J04351612-1606574,34,100,1.26
53,53.0,2MASS J04362788-4114465,142,39,1.97
54,54.0,2MASS J04390101-2353083 [de],29.5,48,0.97
55,55.0,2MASS J04414489+2301513,470,19,
56,56.0,2MASS J04433764+0002040,82,22,1.78
57,57.0,2MASS J04455387-3048204 [de],42,64,1.00
58,58.0,2MASS J04510093-3402150 [de],69,1.04,72
59,59.0,2MASS J05002100+0330501 [de],44,64,1.00
60,60.0,2MASS J05012406-0010452 [de],64,21,1.38
61,61.0,2MASS J05160945-0445499 [de],73,47,0.97
62,62.0,2MASS J0523−1403,40,68,1.01
63,63.0,2MASS 0532+8246,81,83,
64,64.0,SDSS J053951.99-005902.0,41.62,61,1.01
65,65.0,2MASS J05591914-1404488 [de],34,,
66,66.0,LSR 0602+3910 [de],34.6,28,1.41
67,67.0,2MASS J06085283-2753583,102,38,1.51
68,68.0,WISEP J061135.13-041024.0A,69,65,
69,69.0,WISEP J061135.13-041024.0B,69,53,
70,70.0,2MASS J06244595-4521548 [de],39,56,0.99
71,71.0,2MASS J06411840-4322329 [de],65,67,1.01
72,72.0,DENIS-P J0652197-253450 [de],51,75,1.05
73,73.0,2MASS J07003664+3157266 [de],40,,
74,74.0,2MASS J07075327-4900503,60,72,1.03
75,75.0,UGPS J072227.51-054031.2,13.4,26,0.98
76,76.0,2MASSI J0727182+171001 [de],29.6,41,0.94
77,77.0,2MASS J07290002-3954043 [de],25.8,37,0.94
78,78.0,SDSS J074201.41+205520.5 [de],49,43,0.94
79,79.0,2MASS J0746425+200032 [fr],49.6,,
80,80.0,DENIS-P J0751164-253043 [de],55,71,1.03
81,81.0,2MASS J07522390+1612157,60,2.01,68
82,82.0,DENIS J081730.0-615520,16.1,44,0.94
83,83.0,DENIS J082303.1−491201A,67,44,
84,84.0,DENIS J082303.1−491201B,67,28,
85,85.0,2MASS J08251968+2115521 [de],35,52,0.98
86,86.0,SDSSp J083008.12+482847.4 [de],43,48,0.99
87,87.0,LHS 2021,55,88,1.15
88,88.0,SDSS J083048.80+012831.1 [de],77,46,0.96
89,89.0,2MASSI J0835425-081923 [de],23.53,62,1.00
90,90.0,2MASSI J0847287-153237 [de],43,64,1.00
91,91.0,2MASS J08533619-0329321,27.6,77,1.07
92,92.0,2MASSI J0859254-194926 [de],50,50,0.98
93,93.0,2MASSW J0920122+351742 [de],95,,
94,94.0,2MASSI J0937347+293142,20.0,42,0.94
95,95.0,2MASS 0939−2448,17.4,32,0.95
96,96.0,2MASS J09490860-1545485 [de],59,49,0.96
97,97.0,2MASS J10073369-4555147,46,44,0.94
98,98.0,2MASSI J1010148-040649 [de],55,51,0.98
99,99.0,2MASSI J1017075+130839 [de],108,,
100,100.0,SDSS J102109.69-030420.1,95,,
101,101.0,2MASS J10224821+5825453 [de],60,27,1.41
102,102.0,2MASSW J1036530-344138 [de],53,49,0.97
103,103.0,2MASS J1047538+212423 [de],34.4,42,0.94
104,104.0,DEN 1048-3956,13.15,77,1.07
105,105.0,Luhman 16B,6.516,43,1.02
106,106.0,Luhman 16A,6.516,40,1.01
107,107.0,DENIS-P J1058.7−1548,49,64,1.00
108,108.0,TWA 28,180,36,2.39
109,109.0,Cha 110913-773444,163,8,1.8
110,110.0,OTS 44,554,15,
111,111.0,SDSS J111010.01+011613.1,63,9,1.24
112,112.0,2MASS J11145133−2618235,18.2,33,0.96
113,113.0,TWA 26,137,30,2.20
114,114.0,2MASSW J1146345+223053,89,,
115,115.0,2MASS J11544223-3400390 [de],129,37,1.50
116,116.0,2MASSW J1155395-372735 [de],31,64,1.00
117,117.0,TWA 27A,,,
118,118.0,TWA 27B,,,
119,119.0,2MASS J12074836-3900043,217,17,1.71
120,120.0,2MASSI J1217110-031113 [de],36,42,0.94
121,121.0,2MASS J12255432-2739466,43,,
122,122.0,DENIS-P J1228.2-1547,66,,
123,123.0,2M 1237+6526,45.6,41,0.94
124,124.0,2MASSW J1239272+551537 [de],119,,
125,125.0,TWA 29,262,2.00,25
126,126.0,SDSSp J125453.90-012247.4 [de],38,47,0.98
127,127.0,Kelu-1A,61,63,0.98
128,128.0,Kelu-1B,61,58,0.98
129,129.0,2MASS J13204427+0409045,101,67,1.01
130,130.0,SDSSp J132629.82-003831.5 [de],65,51,0.97
131,131.0,SDSSp J134646.45-003150.4 [de],48,44,0.94
132,132.0,2MASS J13595510-4034582,51,63,1.00
133,133.0,ULAS J141623.94+134836.3,29.7,32,0.96
134,134.0,SDSS J141659.78+500626.4 [de],149,59,0.99
135,135.0,DENIS-P J142527.97-365023.4 [de],38,21,1.32
136,136.0,LHS 2924,38.5,76,1.06
137,137.0,2MASS J14392837+1929150,47,72,1.03
138,138.0,LSPM J1440+1339,72,92,1.19
139,139.0,2MASS J14482563+1031590 [de],47,59,0.99
140,140.0,CFBDSIR 1458+10A,104,11.1,1.5
141,141.0,CFBDSIR 1458+10B,104,9,1.3
142,142.0,TVLM 513-46546,35.1,75,1.05
143,143.0,2MASS 1503+2525,20.7,44,0.94
144,144.0,CFBDS J150411+102717,71,44,0.94
145,145.0,2MASSW J1506544+132106 [de],46,69,1.02
146,146.0,2MASS 1507−1627,23.9,60,0.99
147,147.0,TVLM 868-110639,53,79,1.08
148,148.0,SDSS J151114.66+060742.9 [de],89,,
149,149.0,2MASSW J1515008+484742 [de],34,57,0.99
150,150.0,2MASSI J1526140+204341 [de],67,54,0.98
151,151.0,DENIS-P J153941.96-052042.4 [de],51,63,1.00
152,152.0,2MASS J15462718-3325111 [de],37,44,0.94
153,153.0,2MASSW J1552591+294849 [de],68,30,1.43
154,154.0,2MASSW J1555157-095605 [de],44,71,1.03
155,155.0,2MASS J16150413+1340079 [de],48,42,0.94
156,156.0,SDSSp J162414.37+002915.6 [de],36,43,0.94
157,157.0,2MASS J16262034+3925190 [de],110,71,1.03
158,158.0,2MASSW J1632291+190441 [de],50,49,0.97
159,159.0,WISEPA J164715.59+563208.2,28,41,0.94
160,160.0,LSPM J1658+7027 [de],60,73,1.04
161,161.0,2MASSI J1726000+153819,114,24,1.40
162,162.0,2MASSW J1728114+394859,79,,
163,163.0,SDSSp J175032.96+175903.9,90,47,0.97
164,164.0,2MASS J18283572-4849046,39,45,0.95
165,165.0,LSR J1835+3259,18.5,77,1.07
166,166.0,2MASSW J1841086+311727,138,67,1.01
167,167.0,2MASS J18432213+4040209,46,96,1.22
168,168.0,2MASS J20004841-7523070,105,25,1.88
169,169.0,SDSS J204749.61-071818.3,65,46,0.96
170,170.0,2MASSI J2057540-025230,47,70,1.02
171,171.0,2MASSW J2101154+175658,108,,
172,172.0,2MASSI J2104149-103736,62,69,1.02
173,173.0,PSO J318.5−22,80,6.5,1.53
174,174.0,HB 2124-4228,113,94,1.21
175,175.0,2MASS J21392676+0220226,32.1,46,0.96
176,176.0,2MASS J21481628+4003593,26.3,55,0.99
177,177.0,2MASS J14112131-2119503,,,
178,178.0,2MASSW J2206450-421721,93,22,1.33
179,179.0,2MASSW J2208136+292121,154,27,1.41
180,180.0,2MASSW J2224438-015852,38,61,0.99
181,181.0,2MASS J22282889-4310262,35,42,0.94
182,182.0,2MASS J22373255+3922398,64,73,1.04
183,183.0,2MASSW J2244316+204343,56,12,1.29
184,184.0,2MASS J23224684-3133231,56,24,1.39
185,185.0,2MASS J23225299-6151275,148,17,1.59
186,186.0,2MASS J23515044-2537367,67,88,1.16
187,187.0,2MASSI J2356547-155310,74,80,1.09
188,188.0,WISE 0005+3737,23.2,,
189,189.0,WISE 0008-1739,87.1,,
190,190.0,WISE 0015-4615,48.6,,
191,191.0,WISE 0031-3840,71.8,,
192,192.0,WISE 0032-4946,62.9,,
193,193.0,WISE 0038+2758,36.9,,
194,194.0,WISE 0038+8405,101.8,,
195,195.0,WISE 0040+0900,47.6,,
196,196.0,WISE 0049+0441,62.6,,
197,197.0,WISE 0049+2151,24.1,,
198,198.0,WISE 0106+1518,142.9,,
199,199.0,WISE 0123+4142,67.2,,
200,200.0,WISE 0135+1715,77.3,,
201,201.0,WISE 0138-0322,57.7,,
202,202.0,WISE 0146+4234,20.5,,
203,203.0,WISE 0148-7202,30,,
204,204.0,WISE 0150+3827,61.3,,
205,205.0,WISE 0206+2640,58.4,,
206,206.0,WISE 0221+3842,73.1,,
207,207.0,WISE 0223-2932,47,,
208,208.0,WISE 0226-0211,91,,
209,209.0,WISE 0241-3653,53.8,,
210,210.0,WISE 0245-3450,56.1,,
211,211.0,WISE 0247+3725,57.1,,
212,212.0,WISE 0305+3954,75,,
213,213.0,WISE 0307+2904,82.8,,
214,214.0,WISE 0313+7807,28,,
215,215.0,WISE 0316+4307,106.3,,
216,216.0,WISE 0321-7347,84.8,,
217,217.0,WISE 0323-6025,45.3,,
218,218.0,WISE 0325-3854,51.2,,
219,219.0,WISE 0325+0831,36.5,,
220,220.0,WISE 0333-5856,54.8,,
221,221.0,WISE 0335+4310,45.7,,
222,222.0,WISE 0336-0143,55.4,,
223,223.0,WISE 0350-5658,17.7,,
224,224.0,WISE 0359-5401,19.2,,
225,225.0,WISE 0410+1502,20,6,1.17
226,226.0,WISE 0410+1411,85.8,,
227,227.0,WISE 0413-4750,66.2,,
228,228.0,WISE 0448-1935,69.8,,
229,229.0,WISE 0458+6434A,35.9,15,4.2
230,230.0,WISE 0458+6434B,35.9,10,3.8
231,231.0,WISE 0500-1223,47,,
232,232.0,WISE 0513+0608,44.7,,
233,233.0,WISE 0525+6739,98.2,,
234,234.0,WISE 0528-3308,57.4,,
235,235.0,WISE 0535-7500,47,,
236,236.0,WISE 0539-1034,84.8,,
237,237.0,WISE 0542-1628,50.6,,
238,238.0,WISE 0607+2429,25.4,,
239,239.0,WISE 0611-0410,57.7,,
240,240.0,WISE 0612-4920,95.2,,
241,241.0,WISE 0612-3036,64.9,,
242,242.0,WISE 0614+3912,50.2,,
243,243.0,WISE 0614+0951,51.5,,
244,244.0,WISE 0623-0456,37.5,,
245,245.0,WISE 0625+5646,67.2,,
246,246.0,WISE 0627-1114,37.2,,
247,247.0,WISE 0647-6232,28,,
248,248.0,WISE 0656+4205,54.1,,
249,249.0,WISE 0713-2917,23.2,,
250,250.0,WISE 0723+3403,45.7,,
251,251.0,WISE 0733+7544,78.3,,
252,252.0,WISE 0734-7157,34.9,,
253,253.0,WISE 0744+5628,47.3,,
254,254.0,WISE 0750+2725,51.5,,
255,255.0,WISE 0751-7634,39.1,,
256,256.0,WISE 0759-4904,38.8,,
257,257.0,WISE 0811-8051,32,,
258,258.0,WISE 0812+4021,63.6,,
259,259.0,WISE 0819-0335,46,,
260,260.0,WISE 0821+1443,68.2,,
261,261.0,WISE 0836-1859,72.4,,
262,262.0,WISE 0857+5604,42.1,,
263,263.0,WISE 0906+4735,51.5,,
264,264.0,WISE 0929+0409,64.9,,
265,265.0,WISE 0952+1955,72.1,,
266,266.0,WISE 1018-2445,47.6,,
267,267.0,WISE 1019+6529,56.8,,
268,268.0,WISE 1039-1600,47.3,,
269,269.0,WISE 1042-3842,53.2,,
270,270.0,WISE 1051-2138,40.8,,
271,271.0,WISE 1122+2550,57.7,,
272,272.0,WISE 1124-0421,50.6,,
273,273.0,WISE 1147-2040,102,,
274,274.0,WISE 1150+6302,32.9,,
275,275.0,WISE 1217+1626A,34.2,12,
276,276.0,WISE 1217+1626B,34.2,6,
277,277.0,WISE 1225-1013,55.4,,
278,278.0,WISE 1311+0122,44.4,,
279,279.0,WISE 1311+3629,86.1,,
280,280.0,WISE 1318-1758,32.9,,
281,281.0,WISE 1320+6034,56.1,,
282,282.0,WISE 1322-2340,33.9,,
283,283.0,WISE 1348+6603,91,,
284,284.0,WISE 1405+5534,25.3,30,0.86
285,285.0,WISE 1433-0837,84.8,,
286,286.0,WISE 1436-1814,60,,
287,287.0,WISE 1457+5815,52.2,,
288,288.0,WISE 1506+7027,11.1,,
289,289.0,WISE 1517+0529,72.4,,
290,290.0,WISE 1519+7009,50.9,,
291,291.0,WISE 1523+3125,84.5,,
292,292.0,WISE 1541-2250,20,,
293,293.0,WISE 1542+2230,41.1,,
294,294.0,WISE 1612-3420,55.4,,
295,295.0,WISE 1614+1739,32.6,,
296,296.0,WISE 1617+1807,50.2,,
297,297.0,WISE 1622-0959,52.2,,
298,298.0,WISE 1627+3255,50.2,,
299,299.0,WISE 1639-6847,16.3,,
300,300.0,WISE 1647+5632,28,,
301,301.0,WISE 1653+4444,39.5,,
302,302.0,WISE 1711+3500,60.3,,
303,303.0,WISE 1717+6129,72.7,,
304,304.0,WISE 1721+1117,62.3,,
305,305.0,WISE 1728+5716,97.8,,
306,306.0,WISE 1738+2732,20,,
307,307.0,WISE 1741+2553,18.9,,
308,308.0,WISE 1746-0338,83.8,,
309,309.0,WISE 1800+0134,28.7,57,
310,310.0,WISE 1804+3117,30,,
311,311.0,WISE 1809+3838,74.4,,
312,312.0,WISE 1812+2721,47,,
313,313.0,WISE 1828+2650,36,,
314,314.0,WISE 1830+4542,107,,
315,315.0,WISE 1841+7000,131.1,,
316,316.0,WISE 1852+3537,55.4,,
317,317.0,WISE 1906+4508,51.5,,
318,318.0,WISE 1928+2356,22.8,,
319,319.0,WISE 1952+7240,44.4,,
320,320.0,WISE 1959-3338,37.2,,
321,321.0,WISE 2030+0749,34.2,,
322,322.0,WISE 2014+0424,96.2,,
323,323.0,WISE 2015+6646,50.6,,
324,324.0,WISE 2018-7423,47.9,,
325,325.0,WISE 2019-1148,42.4,,
326,326.0,WISE 2056+1459,24.5,,
327,327.0,WISE 2134-7137,42.7,,
328,328.0,WISE 2157+2659,61.6,,
329,329.0,WISE 2209-2734,46,,
330,330.0,WISE 2213+0911,58.7,,
331,331.0,WISE 2220-3628,26.4,,
332,332.0,WISE 2226+0440,45,,
333,333.0,WISE 2237-0614,53.5,,
334,334.0,WISE 2237+7228,46,,
335,335.0,WISE 2239+1617,59.7,,
336,336.0,WISE 2255-3118,44.7,,
337,337.0,WISE 2301+0216,60.7,,
338,338.0,WISE 2313-8037,35.9,,
339,339.0,WISE 2319-1844,52.2,,
340,340.0,WISE 2325-4105,37.5,,
341,341.0,WISE 2327-2730,70.8,,
342,342.0,WISE 2335+4222,90.3,,
343,343.0,WISE 2340-0745,37.8,,
344,344.0,WISE 2342+0856,51.2,,
345,345.0,WISE 2343-7418,48.6,,
346,346.0,WISE 2344+1034,46,,
347,347.0,WISE 2348-1028,54.1,,
348,348.0,WISE 2357+1227,54.8,,
349,349.0,WISE 2359-7335,42.7,,
350,350.0,WISEA 1101+5400,111,,
351,351.0,2M1510,120,40 + 39 + ?,
352,0.0,Sun,0.000015813,1,1
353,1.0,Sirius,0008.6,2.1,1.71´
354,2.0,Canopus,0310,15,71
355,3.0,Alpha Centauri,0004.4,1.1,1.2
356,4.0,Arcturus,0037,1.1,26
357,5.0,Vega,0025,2.2,2.7
358,6.0,Capella,0043,2.6,12
359,7.0,Rigel,0860,23,78.9
360,8.0,Procyon,0011.4,1.5,1.9
361,9.0,Betelgeuse,0640[1],20,950
362,10.0,Achernar,0144,6.7,9.3
363,11.0,Hadar,0390,10.5,8.6
364,12.0,Altair,0017,1.8,1.8
365,13.0,Acrux,0320,18,8.9
366,14.0,Aldebaran,0065,1.5,44
367,15.0,Antares,0600,12,680
368,16.0,Spica,0260,11.43,7.47
369,17.0,Pollux,0034,1.9,8.8
370,18.0,Fomalhaut,0025,1.9,1.8
371,19.0,Deneb,"2,600",19,203
372,20.0,Mimosa,0350,16,8.4
373,21.0,Regulus,0077,3.8,3.1
374,22.0,Adhara,0430,12.5,14
375,23.0,Shaula,0700,14.5,8.8
376,24.0,Castor,0052,2.8,2.4
377,25.0,Gacrux,0088,1.5,84
378,26.0,Bellatrix,0240,8.6,5.8
379,27.0,Elnath,0130,5.0,4.2
380,28.0,Miaplacidus,0110,3.5,6.8
381,29.0,Alnilam,"2,000",32,42
382,30.0,Gamma Velorum,"01,100",9.0,6
383,31.0,Alnair,0101,4.0,3.4
384,32.0,Alioth,0081,2.9,4.2
385,33.0,Alnitak,01050,33,20
386,34.0,Dubhe,0120,4.25,30
387,35.0,Mirfak,0590,8.5,68
388,36.0,Wezen,"1,600",17,200
389,37.0,Sargas,0270,5.7,26
390,38.0,Kaus Australis,0140,3.5,6.8
391,39.0,Avior,0630,9.0,130
392,40.0,Alkaid,0104,6.1,3.4
393,41.0,Menkalinan,081,2.39,2.77
394,42.0,Atria,0390,7,92
395,43.0,Alhena,0109,2.8,3.3
396,44.0,Peacock,0180,5.9,4.8
397,45.0,Alsephina[2],0080,2.4,2.9
398,46.0,Mirzam,0500,13.5,10
399,47.0,Polaris,0430,5.4,39
400,48.0,Alphard,0180,3.0,50
401,49.0,Mintaka,01200,24,16.5
402,50.0,Scheat,0196,2.1,95
403,51.0,Almaaz,0653,15,140
404,52.0,Rasalgethi,0360,2.8,280
405,53.0,Tau Ceti,011.9,0.783,0.893
406,54.0,Delta Pavonis,019.92,0.991,1.22
407,55.0,Ran,010.48,0.82,0.74
408,56.0,V382 Carinae,"08,900",20,485
409,57.0,Eta Carinae,"07,500",100,60–881
410,58.0,Delta Cephei,0887,4.5,44.5
411,59.0,Mu Cephei,"06,000",19.2,972
412,60.0,Titawin,044.25,1.27,1.48
413,61.0,Rho Cassiopeiae,"08,154",22,636-981
414,62.0,P Cygni,"05,545",30,76
415,63.0,La Superba,"01,000",,129 - 342
416,64.0,VV Cephei,"04,900",18.2,"516 - 1,050"
417,65.0,61 Cygni,011.41,0.7,0.665
418,66.0,R Doradus,0178,0.7 - 1.0,298
419,67.0,Polaris Australis,0281,1.59,3.74
420,68.0,R Coronae Borealis,"04,566",0.85,85
421,69.0,54 Piscium,036.1,0.76,0.94
422,70.0,Mira,0300,1.2,370
423,71.0,RW Cephei,"014,000",13.9,"1,158"
424,72.0,Lacaille 8760,012.87,0.6,0.51
425,73.0,V838 Monocerotis,"019,896",?,380 - 750
426,74.0,HD 140283,0190,?,1.4
427,75.0,II Pegasi,0130,0.8,3.4
428,76.0,VY Canis Majoris,"03,900",17,"1,420"
429,77.0,Pistol Star,"025,000",100,320
430,78.0,S Doradus,"0169,000",24,380
431,79.0,UY Scuti,"05,100",7–10,755
432,80.0,Barnard's Star,05.98,0.14,0.20
433,81.0,Luhman 16,06.52,0.04,?
434,82.0,Proxima Centauri,04.25,0.12,0.15
435,83.0,KIC 8462852,"01,470",1.43,1.58
436,84.0,R136a1,"0163,000",290,32
437,85.0,Melnick 42,"0163,000",189,21.1
438,86.0,WR 102,"018,134",19,0.39
439,87.0,VFTS 352,"0164,000",57.48,14.47
440,88.0,YBP 1194,"02,772",1.01,0.99
441,89.0,Gliese 1214,047.5,0.16,0.21
442,90.0,NML Cygni,"05,251",50,"1,640 - 2,770"
443,91.0,VB 10,018.72,0.075,0.10
444,92.0,WOH G64,"0163,000",<20,"1,540 - 1,730"
445,93.0,TRAPPIST-1,039.6,0.089,0.12
446,94.0,2MASS J0523-1403,040.3,0.07,0.086
447,95.0,WISE 0855−0714,07.27,0.003,?
448,96.0,Icarus,"014,400,000,000",33,?
